{'class': 1, 'prefix': '001011202121', 'N': 146, 'accepted': True, 'proof_lines': 0, 'solve_s': 0.0, 'check_s': 0.1, 'lemmas_checked': 0, 'deletions_ignored': 0, 'end': 'top conflict'}
{'class': 3, 'prefix': '001011203101', 'N': 146, 'accepted': True, 'proof_lines': 224443, 'solve_s': 3.0, 'check_s': 717.5, 'lemmas_checked': 108976, 'deletions_ignored': 115466, 'end': 'top conflict'}
{'class': 4, 'prefix': '001011203121', 'N': 146, 'accepted': True, 'proof_lines': 123884, 'solve_s': 1.7, 'check_s': 245.6, 'lemmas_checked': 64848, 'deletions_ignored': 59035, 'end': 'top conflict'}
{'class': 2, 'prefix': '001011202131', 'N': 146, 'accepted': True, 'proof_lines': 302671, 'solve_s': 4.0, 'check_s': 1130.1, 'lemmas_checked': 143359, 'deletions_ignored': 159311, 'end': 'top conflict'}
{'class': 0, 'prefix': '001011202101', 'N': 146, 'accepted': True, 'proof_lines': 362077, 'solve_s': 4.8, 'check_s': 1471.8, 'lemmas_checked': 174493, 'deletions_ignored': 187583, 'end': 'top conflict'}
{'class': 5, 'prefix': '001011203131', 'N': 146, 'accepted': True, 'proof_lines': 253990, 'solve_s': 3.5, 'check_s': 809.4, 'lemmas_checked': 123388, 'deletions_ignored': 130601, 'end': 'top conflict'}
{'class': 8, 'prefix': '001021102211', 'N': 146, 'accepted': True, 'proof_lines': 0, 'solve_s': 0.0, 'check_s': 0.1, 'lemmas_checked': 0, 'deletions_ignored': 0, 'end': 'top conflict'}
{'class': 9, 'prefix': '001021102221', 'N': 146, 'accepted': True, 'proof_lines': 0, 'solve_s': 0.0, 'check_s': 0.1, 'lemmas_checked': 0, 'deletions_ignored': 0, 'end': 'top conflict'}
{'class': 6, 'prefix': '001011203141', 'N': 146, 'accepted': True, 'proof_lines': 255304, 'solve_s': 3.5, 'check_s': 852.0, 'lemmas_checked': 122159, 'deletions_ignored': 133144, 'end': 'top conflict'}
{'class': 11, 'prefix': '001021103201', 'N': 146, 'accepted': True, 'proof_lines': 156233, 'solve_s': 1.9, 'check_s': 307.6, 'lemmas_checked': 70935, 'deletions_ignored': 85297, 'end': 'top conflict'}
{'class': 12, 'prefix': '001021103211', 'N': 146, 'accepted': True, 'proof_lines': 0, 'solve_s': 0.0, 'check_s': 0.1, 'lemmas_checked': 0, 'deletions_ignored': 0, 'end': 'top conflict'}
{'class': 10, 'prefix': '001021102231', 'N': 146, 'accepted': True, 'proof_lines': 198691, 'solve_s': 2.7, 'check_s': 535.7, 'lemmas_checked': 96010, 'deletions_ignored': 102680, 'end': 'top conflict'}
{'class': 7, 'prefix': '001021102201', 'N': 146, 'accepted': True, 'proof_lines': 269396, 'solve_s': 3.6, 'check_s': 892.6, 'lemmas_checked': 129299, 'deletions_ignored': 140096, 'end': 'top conflict'}
{'class': 13, 'prefix': '001021103221', 'N': 146, 'accepted': True, 'proof_lines': 119670, 'solve_s': 1.3, 'check_s': 174.4, 'lemmas_checked': 54411, 'deletions_ignored': 65258, 'end': 'top conflict'}
{'class': 16, 'prefix': '001021202201', 'N': 146, 'accepted': True, 'proof_lines': 0, 'solve_s': 0.0, 'check_s': 0.1, 'lemmas_checked': 0, 'deletions_ignored': 0, 'end': 'top conflict'}
{'class': 17, 'prefix': '001021202211', 'N': 146, 'accepted': True, 'proof_lines': 0, 'solve_s': 0.0, 'check_s': 0.1, 'lemmas_checked': 0, 'deletions_ignored': 0, 'end': 'top conflict'}
{'class': 18, 'prefix': '001021202221', 'N': 146, 'accepted': True, 'proof_lines': 0, 'solve_s': 0.0, 'check_s': 0.1, 'lemmas_checked': 0, 'deletions_ignored': 0, 'end': 'top conflict'}
{'class': 19, 'prefix': '001021202231', 'N': 146, 'accepted': True, 'proof_lines': 0, 'solve_s': 0.0, 'check_s': 0.1, 'lemmas_checked': 0, 'deletions_ignored': 0, 'end': 'top conflict'}
{'class': 14, 'prefix': '001021103231', 'N': 146, 'accepted': True, 'proof_lines': 145914, 'solve_s': 1.7, 'check_s': 254.9, 'lemmas_checked': 64480, 'deletions_ignored': 81433, 'end': 'top conflict'}
{'class': 20, 'prefix': '001021203201', 'N': 146, 'accepted': True, 'proof_lines': 89435, 'solve_s': 1.0, 'check_s': 121.7, 'lemmas_checked': 39118, 'deletions_ignored': 50316, 'end': 'top conflict'}
{'class': 21, 'prefix': '001021203211', 'N': 146, 'accepted': True, 'proof_lines': 65696, 'solve_s': 0.6, 'check_s': 53.1, 'lemmas_checked': 24868, 'deletions_ignored': 40827, 'end': 'top conflict'}
{'class': 15, 'prefix': '001021103241', 'N': 146, 'accepted': True, 'proof_lines': 176115, 'solve_s': 2.4, 'check_s': 447.5, 'lemmas_checked': 82853, 'deletions_ignored': 93261, 'end': 'top conflict'}
{'class': 23, 'prefix': '001021203231', 'N': 146, 'accepted': True, 'proof_lines': 158925, 'solve_s': 2.2, 'check_s': 343.7, 'lemmas_checked': 75980, 'deletions_ignored': 82944, 'end': 'top conflict'}
{'class': 22, 'prefix': '001021203221', 'N': 146, 'accepted': True, 'proof_lines': 182070, 'solve_s': 2.4, 'check_s': 526.7, 'lemmas_checked': 87191, 'deletions_ignored': 94878, 'end': 'top conflict'}
{'class': 24, 'prefix': '001021203241', 'N': 146, 'accepted': True, 'proof_lines': 162772, 'solve_s': 2.8, 'check_s': 442.3, 'lemmas_checked': 87265, 'deletions_ignored': 75506, 'end': 'top conflict'}
{'class': 27, 'prefix': '001021302221', 'N': 146, 'accepted': True, 'proof_lines': 0, 'solve_s': 0.0, 'check_s': 0.1, 'lemmas_checked': 0, 'deletions_ignored': 0, 'end': 'top conflict'}
{'class': 28, 'prefix': '001021302231', 'N': 146, 'accepted': True, 'proof_lines': 106729, 'solve_s': 1.6, 'check_s': 153.8, 'lemmas_checked': 48914, 'deletions_ignored': 57814, 'end': 'top conflict'}
{'class': 25, 'prefix': '001021302201', 'N': 146, 'accepted': True, 'proof_lines': 201804, 'solve_s': 2.8, 'check_s': 666.3, 'lemmas_checked': 96492, 'deletions_ignored': 105310, 'end': 'top conflict'}
{'class': 26, 'prefix': '001021302211', 'N': 146, 'accepted': True, 'proof_lines': 193323, 'solve_s': 3.5, 'check_s': 545.3, 'lemmas_checked': 92003, 'deletions_ignored': 101319, 'end': 'top conflict'}
{'class': 31, 'prefix': '001021303211', 'N': 146, 'accepted': True, 'proof_lines': 134295, 'solve_s': 2.1, 'check_s': 300.9, 'lemmas_checked': 66276, 'deletions_ignored': 68018, 'end': 'top conflict'}
{'class': 29, 'prefix': '001021302241', 'N': 146, 'accepted': True, 'proof_lines': 207808, 'solve_s': 3.0, 'check_s': 601.2, 'lemmas_checked': 94886, 'deletions_ignored': 112921, 'end': 'top conflict'}
{'class': 33, 'prefix': '001021303231', 'N': 146, 'accepted': True, 'proof_lines': 0, 'solve_s': 0.0, 'check_s': 0.1, 'lemmas_checked': 0, 'deletions_ignored': 0, 'end': 'top conflict'}
{'class': 30, 'prefix': '001021303201', 'N': 146, 'accepted': True, 'proof_lines': 157974, 'solve_s': 2.1, 'check_s': 383.4, 'lemmas_checked': 73874, 'deletions_ignored': 84099, 'end': 'top conflict'}
{'class': 35, 'prefix': '001021304201', 'N': 146, 'accepted': True, 'proof_lines': 116003, 'solve_s': 1.8, 'check_s': 198.2, 'lemmas_checked': 51544, 'deletions_ignored': 64458, 'end': 'top conflict'}
{'class': 36, 'prefix': '001021304211', 'N': 146, 'accepted': True, 'proof_lines': 90774, 'solve_s': 1.2, 'check_s': 163.3, 'lemmas_checked': 44817, 'deletions_ignored': 45956, 'end': 'top conflict'}
{'class': 32, 'prefix': '001021303221', 'N': 146, 'accepted': True, 'proof_lines': 194781, 'solve_s': 3.6, 'check_s': 590.7, 'lemmas_checked': 91761, 'deletions_ignored': 103019, 'end': 'top conflict'}
{'class': 37, 'prefix': '001021304221', 'N': 146, 'accepted': True, 'proof_lines': 108397, 'solve_s': 1.4, 'check_s': 186.2, 'lemmas_checked': 48042, 'deletions_ignored': 60354, 'end': 'top conflict'}
{'class': 38, 'prefix': '001021304231', 'N': 146, 'accepted': True, 'proof_lines': 71850, 'solve_s': 0.8, 'check_s': 93.2, 'lemmas_checked': 28814, 'deletions_ignored': 43035, 'end': 'top conflict'}
{'class': 34, 'prefix': '001021303241', 'N': 146, 'accepted': True, 'proof_lines': 195974, 'solve_s': 3.6, 'check_s': 684.6, 'lemmas_checked': 95925, 'deletions_ignored': 100048, 'end': 'top conflict'}
{'class': 39, 'prefix': '001021304241', 'N': 146, 'accepted': True, 'proof_lines': 105034, 'solve_s': 1.4, 'check_s': 192.6, 'lemmas_checked': 49232, 'deletions_ignored': 55801, 'end': 'top conflict'}
{'class': 40, 'prefix': '001021304251', 'N': 146, 'accepted': True, 'proof_lines': 141986, 'solve_s': 2.3, 'check_s': 346.0, 'lemmas_checked': 67803, 'deletions_ignored': 74182, 'end': 'top conflict'}
ACCEPTED 41 of 41
